Month-to-Date Billing Summary - CSV and XML
Customer Account:,"Tidal Energy Marketing Inc.",Report Creation Timestamp (EPT):,03/26/2018 11:59:48 AM
Billing Period Start:,02/01/2018,Billing Period End:,02/28/2018
CHARGES,ADJ,BILLING LINE ITEM NAME,SOURCE BILLING PERIOD START,BILLING PERIOD-TO-DATE AMOUNT ($),02/01/2018,02/02/2018,02/03/2018,02/04/2018,02/05/2018,02/06/2018,02/07/2018,02/08/2018,02/09/2018,02/10/2018,02/11/2018,02/12/2018,02/13/2018,02/14/2018,02/15/2018,02/16/2018,02/17/2018,02/18/2018,02/19/2018,02/20/2018,02/21/2018,02/22/2018,02/23/2018,02/24/2018,02/25/2018,02/26/2018,02/27/2018,02/28/2018, , , 
1330,A,Reactive Supply and Voltage Control from Generation and Other Sources Service^,09/01/2017,-154.76,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1330,A,Reactive Supply and Voltage Control from Generation and Other Sources Service^,10/01/2017,-136.03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1330,A,Reactive Supply and Voltage Control from Generation and Other Sources Service^,01/01/2018,2.54,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1330,A,Reactive Supply and Voltage Control from Generation and Other Sources Service^,02/01/2018,-6.63,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1375,A,Balancing Operating Reserve,10/01/2017,-1.43,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1375,A,Balancing Operating Reserve,11/01/2017,-.06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1375,A,Balancing Operating Reserve,12/01/2017,-2.65,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1375,A,Balancing Operating Reserve,01/01/2018,29.36,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 

Total Charges,,,,-254649.41,-6867.21,-69105.52,-43509.55,-20362.57,-47325.79,-13933.97,.00,-50782.99,-7347.21,.00,.00,.00,1612.46,.00,.00,607.37,.00,.00,.00,.00,1792.14,770.45,.00,.00,.00,.00,.00,.00, , , 

CREDITS,ADJ,BILLING LINE ITEM NAME,SOURCE BILLING PERIOD START,BILLING PERIOD-TO-DATE AMOUNT ($),02/01/2018,02/02/2018,02/03/2018,02/04/2018,02/05/2018,02/06/2018,02/07/2018,02/08/2018,02/09/2018,02/10/2018,02/11/2018,02/12/2018,02/13/2018,02/14/2018,02/15/2018,02/16/2018,02/17/2018,02/18/2018,02/19/2018,02/20/2018,02/21/2018,02/22/2018,02/23/2018,02/24/2018,02/25/2018,02/26/2018,02/27/2018,02/28/2018, , , 
2100,,Network Integration Transmission Service,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
2130,,Firm Point-to-Point Transmission Service,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
2140,,Non-Firm Point-to-Point Transmission Service,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
2215,,Balancing Transmission Congestion*,,-.71,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.24,.00,.00,-2.12,.00,.00,.00,.00,.88,.29,.00,.00,.00,.00,.00,.00, , , 
2220,,Transmission Losses,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
2320,,"Transmission Owner Scheduling, System Control and Dispatch Service",,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
2330,,Reactive Supply and Voltage Control from Generation and Other Sources Service,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
2340,,Regulation and Frequency Response Service,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
2360,,Synchronized Reserve,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
2365,,Day-ahead Scheduling Reserve,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
2370,,Day-ahead Operating Reserve,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
2375,,Balancing Operating Reserve,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
2380,,Black Start Service,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
2211,A,Day-ahead Transmission Congestion*,07/01/2017,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 

Total Credits,,,,-.71,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.24,.00,.00,-2.12,.00,.00,.00,.00,.88,.29,.00,.00,.00,.00,.00,.00, , , 

Monthly Billing Net Total,,,,-254648.70,-6867.21,-69105.52,-43509.55,-20362.57,-47325.79,-13933.97,.00,-50782.99,-7347.21,.00,.00,.00,1612.22,.00,.00,609.49,.00,.00,.00,.00,1791.26,770.16,.00,.00,.00,.00,.00,.00, , , 

Net Total for Month's Last Weekly Billing Period,,,,-256420.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Total Due / Receivable,,,,1771.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End of Report
"The data on this report is preliminary until the end of the billing cycle.  Final results are based on month-end calculations that could significantly change the preliminary results that are displayed throughout the month. 
 
 Zeros will appear for all items that have not yet been calculated.  Zeros will also display in the daily columns for those line items that are not calculated at a daily granularity.
 
 +  appended to the end of the billing line item name indicates that weekly charges/credits have been added to the daily charge/credit value for the last day that falls within each week.  (For Point-to-Point Transmission Service, the week is defined as Monday - Sunday.) 
 
 * appended to the end of the billing line item name indicates that the billing period-to-date value for that line item reflects the sum of the daily values, as well as the addition of a monthly charge or credit that is used in calculating the billing line item. 
 
 ^ appended to the end of the billing line item name indicates that the charge or credit may represent an approximated value throughout the month and will eventually be replaced with finalized data prior to billing."
