Tidal Energy Marketing Inc., ,MAR/20/2018,17,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,0,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,18,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,0,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,19,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,0,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,20,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,0,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,21,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,0,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,22,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,0,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,23,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,0,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,1,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,2,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,3,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,4,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,5,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,6,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,7,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,8,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,9,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,10,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,11,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,12,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,13,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,14,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,15,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,16,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,17,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,18,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,19,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,20,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,21,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,22,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,TIDALVT,MAR/20/2018,23,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0
TCC
100,900,101,102,901
Org name,TCC Contract ID,Start day,Start hour,Tcc credit
DEMAND RESPONSE PROGRAMS
100,2000,2001,101,102,2002,2003,203,403,2004,408,2005,2006,2007,2008,2009,2030,255,2031,257,2032,259,2033,261,2034,2020,2021,2022,2023,2042,2043,2045
Org name,Demand Reduction Provider Name,Demand Reduction Provider TPID,Start day,Start hour,DAM Demand Reduction Schedule MWHR,Demand Reduction Acutal MWHR,DAM LBMP (Generator),DAM LBMP (Zonal),R/T LBMP (Generator - Time Weighted not Load Weighted,R/T LBMP (Zonal),Demand Response Incentive $,Demand Response Reduction $,Demand Response Penalty $,Demand Response Load Balancing $,Load Reduction Bid Guarantee $,Sched 1 MWHr,S SC&D MST Inject Rate,S SC&D MST Inject Charge $,S SC&D OAT Inject Rate,S SC&D OAT Inject Charge $,Misc Exp MST Inject Rate,Misc Exp MST Inject Charge $,Misc Exp OAT Inject Rate,Misc Exp OAT Inject Charge $,EDRP Demand Response Reduction MWHr,EDRP Demand Response Credit $,SCR Demand Response Reduction MWHr,SCR Demand Response Credit $,Annual Budget OAT SCR/ EDRP Charge $,Annual Budget OAT SCR/ EDRP Rate,FERC Fees OAT inject Charge $
VIRTUAL BIDDING PROGRAM
100,400,3000,3001,101,102,412,413,414,415,416,417,418,419,420
Org name,LSE name,Virtual Bidding Bus Name,Virtual Bidding Bus PTID,Start day,Start hour,Virtual Load MWh,DAM Virtual Load $,Virtual Supplier MWh,DAM Virtual Supplier $,Balancing Virtual Load $,Balancing Virtual Supply $,Annual Budget OAT Virtuals Charge $,FERC Fees OAT Virtuals Charge $,Annual Budget OAT Virtuals Rate
TRADING HUB LBMP TRANSACTIONS
100,500,101,102,540,541,542,543,544,545,546,547,548,549
Org name,Trans ID,Start day,Start hour,DAM Hrly Trading Hub MW,DAM Trading Hub Energy $,DAM Trading Hub Loss $,DAM Trading Hub Cong $,DAM Trading Hub LBMP $,R/T Hrly Trading Hub MW,R/T Trading Hub Energy $,R/T Trading Hub Loss $,R/T Trading Hub Cong $,R/T Trading Hub LBMP $
